"DSA1203 - Practical car test pass rates by age (17-25 year olds), year and DTC",,,,,,,,,,
,,,,,,,,,,
Time Period Captured,,2007/08,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Numbers / Per cent
,,Male tests,,,Female tests ,,,Total tests,,
,,Conducted,Passes,Pass rate (%),Conducted,Passes,Pass rate (%),Conducted,Passes,Pass rate (%)
,,,,,,,,,,
Aberdeen North (Bridge of Don),,,,,,,,,,
,18,417,180,43.16546763,443,148,33.40857788,860,328,38.13953488
,19,289,108,37.37024221,338,110,32.5443787,627,218,34.76874003
,20,210,86,40.95238095,224,74,33.03571429,434,160,36.86635945
,21,163,60,36.80981595,181,68,37.56906077,344,128,37.20930233
,22,151,56,37.08609272,211,74,35.07109005,362,130,35.91160221
,23,144,58,40.27777778,222,62,27.92792793,366,120,32.78688525
,24,107,45,42.05607477,167,58,34.73053892,274,103,37.59124088
,25,118,37,31.3559322,142,52,36.61971831,260,89,34.23076923
Glasgow (Springburn Park),,,,,,,,,,
,17,514,269,52.33463035,277,130,46.93140794,791,399,50.44247788
,18,501,214,42.71457086,500,208,41.6,1001,422,42.15784216
,19,304,134,44.07894737,338,150,44.37869822,642,284,44.23676012
,20,194,90,46.39175258,276,102,36.95652174,470,192,40.85106383
,21,184,81,44.02173913,218,86,39.44954128,402,167,41.54228856
,22,134,72,53.73134328,242,89,36.7768595,376,161,42.81914894
,23,113,56,49.55752212,182,79,43.40659341,295,135,45.76271186
,24,118,59,50,162,69,42.59259259,280,128,45.71428571
,25,119,53,44.53781513,112,51,45.53571429,231,104,45.02164502
Gloucester,,,,,,,,,,
,17,1212,621,51.23762376,983,500,50.8646999,2195,1121,51.07061503
,18,708,353,49.85875706,729,328,44.99314129,1437,681,47.39039666
,19,333,160,48.04804805,339,162,47.78761062,672,322,47.91666667
,20,178,85,47.75280899,195,78,40,373,163,43.6997319
,21,167,81,48.50299401,161,68,42.23602484,328,149,45.42682927
,22,125,64,51.2,138,56,40.57971014,263,120,45.62737643
,23,126,59,46.82539683,117,46,39.31623932,243,105,43.20987654
,24,99,53,53.53535354,110,44,40,209,97,46.41148325
,25,69,39,56.52173913,75,35,46.66666667,144,74,51.38888889
Golspie,,,,,,,,,,
,17,6,5,83.33333333,18,5,27.77777778,24,10,41.66666667
Goodmayes,,,,,,,,,,
,17,878,360,41.0022779,357,154,43.1372549,1235,514,41.6194332
,18,982,398,40.52953157,636,234,36.79245283,1618,632,39.0605686
,19,700,268,38.28571429,668,205,30.68862275,1368,473,34.57602339
,20,564,227,40.24822695,523,170,32.50478011,1087,397,36.5225391
,21,434,176,40.55299539,473,157,33.19238901,907,333,36.71444322
,22,357,135,37.81512605,373,125,33.51206434,730,260,35.61643836
,23,357,151,42.29691877,365,116,31.78082192,722,267,36.98060942
,24,363,144,39.66942149,382,120,31.41361257,745,264,35.43624161
,25,401,151,37.65586035,318,94,29.55974843,719,245,34.07510431
Grantham,,,,,,,,,,
,17,662,401,60.57401813,560,312,55.71428571,1222,713,58.34697218
,18,308,149,48.37662338,381,191,50.1312336,689,340,49.34687954
,19,163,67,41.10429448,183,90,49.18032787,346,157,45.37572254
,20,87,47,54.02298851,102,46,45.09803922,189,93,49.20634921
,21,76,37,48.68421053,84,35,41.66666667,160,72,45
,22,65,35,53.84615385,81,40,49.38271605,146,75,51.36986301
,23,48,33,68.75,76,31,40.78947368,124,64,51.61290323
,24,31,17,54.83870968,53,20,37.73584906,84,37,44.04761905
,25,38,22,57.89473684,42,20,47.61904762,80,42,52.5
Grantown-On-Spey,,,,,,,,,,
,17,24,12,50,27,17,62.96296296,51,29,56.8627451
,18,23,14,60.86956522,13,7,53.84615385,36,21,58.33333333
Greenford,,,,,,,,,,
,17,225,89,39.55555556,106,29,27.35849057,331,118,35.64954683
,18,299,107,35.78595318,205,69,33.65853659,504,176,34.92063492
,19,205,68,33.17073171,216,75,34.72222222,421,143,33.96674584
,20,216,86,39.81481481,190,55,28.94736842,406,141,34.72906404
,21,133,55,41.35338346,149,44,29.53020134,282,99,35.10638298
,22,161,63,39.13043478,158,56,35.44303797,319,119,37.30407524
,23,139,62,44.60431655,123,43,34.95934959,262,105,40.07633588
,24,139,49,35.25179856,148,45,30.40540541,287,94,32.75261324
,25,134,48,35.82089552,140,36,25.71428571,274,84,30.65693431
Greenock,,,,,,,,,,
,17,305,138,45.24590164,179,80,44.69273743,484,218,45.04132231
,18,184,86,46.73913043,233,97,41.63090129,417,183,43.88489209
,19,112,55,49.10714286,130,60,46.15384615,242,115,47.52066116
,20,72,39,54.16666667,113,45,39.82300885,185,84,45.40540541
,21,58,34,58.62068966,59,26,44.06779661,117,60,51.28205128
,22,55,25,45.45454545,43,23,53.48837209,98,48,48.97959184
,23,40,15,37.5,44,17,38.63636364,84,32,38.0952381
,24,22,12,54.54545455,46,19,41.30434783,68,31,45.58823529
,25,32,15,46.875,59,25,42.37288136,91,40,43.95604396
Grimsby,,,,,,,,,,
,17,760,339,44.60526316,521,220,42.22648752,1281,559,43.63778298
,18,444,191,43.01801802,519,197,37.95761079,963,388,40.29075805
,19,223,103,46.18834081,282,97,34.39716312,505,200,39.6039604
,20,156,72,46.15384615,176,60,34.09090909,332,132,39.75903614
,21,112,54,48.21428571,162,59,36.41975309,274,113,41.24087591
,22,125,60,48,111,36,32.43243243,236,96,40.6779661
,23,114,50,43.85964912,109,41,37.6146789,223,91,40.80717489
,24,72,37,51.38888889,98,33,33.67346939,170,70,41.17647059
,25,72,37,51.38888889,59,32,54.23728814,131,69,52.67175573
Guildford,,,,,,,,,,
,17,881,471,53.46197503,915,475,51.91256831,1796,946,52.67260579
